         39162 function calls (39150 primitive calls) in 5.042 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       64    2.141    0.033    2.152    0.034 main.py:149(dct_2d_on_8x8_block)
      512    1.989    0.004    1.989    0.004 main.py:112(<listcomp>)
     3018    0.666    0.000    0.666    0.000 {built-in method numpy.array}
      512    0.122    0.000    0.369    0.001 main.py:82(<listcomp>)
        1    0.071    0.071    2.401    2.401 main.py:96(rgb_to_ycbcr)
        1    0.013    0.013    5.289    5.289 main.py:215(main)
     4096    0.007    0.000    0.007    0.000 {built-in method numpy.zeros}
      192    0.005    0.000    0.017    0.000 main.py:188(<listcomp>)
3075/3074    0.004    0.000    0.012    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    0.003    0.003    0.005    0.005 main.py:124(shift_image_pixels)
        1    0.003    0.003    0.008    0.008 main.py:128(divide_image_to_blocks)
     2880    0.003    0.000    0.003    0.000 {method 'diagonal' of 'numpy.ndarray' objects}
     2880    0.003    0.000    0.008    0.000 fromnumeric.py:1502(diagonal)
     2880    0.002    0.000    0.012    0.000 <__array_function__ internals>:2(diagonal)
        1    0.001    0.001    1.991    1.991 main.py:111(<listcomp>)
       64    0.001    0.000    0.002    0.000 main.py:181(quantize_pixel_block)
     8802    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
      192    0.001    0.000    0.019    0.000 main.py:185(array_2d_to_zigzag)
        1    0.001    0.001    0.370    0.370 main.py:81(<listcomp>)
     2883    0.001    0.000    0.002    0.000 _asarray.py:86(asanyarray)
        1    0.001    0.001    0.001    0.001 {method 'read' of '_io.BufferedReader' objects}
     2905    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.000    0.000 main.py:77(<listcomp>)
       64    0.000    0.000    0.020    0.000 main.py:234(<listcomp>)
     2880    0.000    0.000    0.000    0.000 fromnumeric.py:1498(_diagonal_dispatcher)
        1    0.000    0.000    5.289    5.289 <string>:1(<module>)
       64    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
      193    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(concatenate)
